报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
代理买卖证券款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
代理承销证券款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
国际票证结算(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
国内票证结算(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债(万元),4111053.0,4616384.0,3692575.0,3672015.0,3248353.0,2677330.0,2410311.0,2644137.0,2368957.0,2474640.0,2340892.0,2329789.0,2261034.0,2044929.0,1383496.0,1569922.0,2353093.0,2752179.0,2638052.0,3286577.0,3095849.0,2562496.0,1412271.0,1550573.0,1575940.0,2184583.0,2282315.0,2143189.0,1856984.0,1530569.0,1383111.0,1239302.0,1230525.0,744041.0,640768.0,998551.0,1212616.0,1326437.0,1253627.0,961215.0,867200.0,748868.0,586715.0,307715.0,195497.0,109009.0,98331.25,87653.5,76975.75,66298.0,66298.0,66298.0,66298.0
其他流动负债(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计(万元),88095367.0,84735543.0,74344107.0,67612358.0,62763400.0,57999849.0,55315828.0,50986747.0,45689864.0,42006183.0,40208447.0,37896759.0,36930781.0,34565403.0,35612659.0,33616091.0,34135190.0,32892183.0,33016270.0,31410130.0,29923712.0,25983357.0,23355500.0,21710112.0,20334813.0,20072416.0,19465416.0,17259441.0,15180744.0,12965079.0,10869104.0,8588469.0,7773484.0,6805828.0,6286523.0,6263861.0,6626383.0,6455372.0,6796103.0,6062218.0,5305988.0,4877398.0,4515039.0,2950222.0,1983515.0,2201627.0,1923396.75,1645166.5,1366936.25,1088706.0,1088706.0,1088706.0,1088706.0
长期借款(万元),11255848.0,9602904.0,7714669.0,6573612.0,7023966.0,5640606.0,3168013.0,3678719.0,3913599.0,3382858.0,2996751.0,2779440.0,2817813.0,3453671.0,4685690.0,4921060.0,4377208.0,3668313.0,3100336.0,2445025.0,2828945.0,3603607.0,3583064.0,3673980.0,3126002.0,2097196.0,2232280.0,2393777.0,2079673.0,2479050.0,2331764.0,1962535.0,1663516.0,1750280.0,1765640.0,1343964.0,1216897.0,917412.0,992391.0,1369873.0,1648598.0,1636208.0,1777054.0,1587031.0,1230961.0,945288.0,738498.0,531708.0,324918.0,118128.0,118128.0,118128.0,118128.0
应付债券(万元),3165235.0,3232267.0,2705835.0,2328292.0,2343808.0,2910838.0,2540378.0,2538295.0,2197358.0,1901581.0,1687209.0,1161424.0,1162641.0,1161223.0,988844.0,990082.0,746903.0,739839.0,480900.0,483178.0,494591.0,0.0,587362.0,586575.0,585801.0,585040.0,584290.0,583553.0,582590.0,582114.0,581412.0,580722.0,580042.0,579374.0,578716.0,578069.0,577432.0,576802.0,576175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.75,42175.5,63263.25,84351.0,84351.0,84351.0,84351.0
长期应付款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254998.0,0.0,0.0,5700.0,14989.25,24278.5,33567.75,42857.0,42857.0,42857.0,42857.0
专项应付款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,818.0,336.0,1739.0,1304.25,869.5,434.75,0.0,0.0,0.0,0.0
预计非流动负债(万元),15056.0,15987.0,16885.0,14139.0,11217.0,11867.0,14899.0,10963.0,14196.0,14322.0,10029.0,8929.0,6036.0,5342.0,7105.0,7330.0,6301.0,4688.0,6128.0,5855.0,5108.0,4429.0,6244.0,5790.0,5474.0,3868.0,4061.0,4544.0,5750.0,4111.0,4357.0,3361.0,3761.0,3436.0,3243.0,3039.0,3394.0,4173.0,4502.0,4038.0,3958.0,3796.0,6226.0,3339.0,3300.0,3168.0,2975.5,2783.0,2590.5,2398.0,2398.0,2398.0,2398.0
长期递延收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债(万元),103192.0,26530.0,41786.0,42800.0,52649.0,50405.0,54200.0,54910.0,55496.0,55843.0,55300.0,58896.0,58599.0,59030.0,79273.0,66027.0,66383.0,67272.0,69690.0,70078.0,71984.0,73381.0,79668.0,78797.0,78210.0,77891.0,74675.0,72909.0,73273.0,73899.0,72364.0,73326.0,78653.0,80246.0,78536.0,80593.0,84526.0,86780.0,90298.0,90222.0,97966.0,99100.0,2543.0,1886.0,4625.0,89112.0,82246.5,75381.0,68515.5,61650.0,61650.0,61650.0,61650.0
其他非流动负债(万元),258041.0,254067.0,242388.0,239616.0,281710.0,286200.0,146288.0,143631.0,138347.0,137808.0,9084.0,8330.0,7822.0,6844.0,5591.0,4851.0,4816.0,4296.0,3802.0,3382.0,2442.0,1568.0,1535.0,1467.0,1280.0,1180.0,4483.0,1055.0,930.0,882.0,855.0,874.0,789.0,841.0,1179.0,1972.0,1522.0,1264.0,1894.0,1473.0,1527.0,991.0,0.0,0.0,0.0,0.0,480.0,960.0,1440.0,1920.0,1920.0,1920.0,1920.0
非流动负债合计(万元),14797372.0,13131755.0,10721563.0,9198458.0,9713350.0,8899916.0,5923778.0,6426518.0,6318995.0,5492412.0,4758373.0,4017020.0,4052911.0,4686111.0,5766503.0,5989350.0,5201611.0,4484407.0,3660856.0,3007518.0,3403070.0,3682985.0,4257874.0,4346609.0,3796767.0,2765174.0,2899790.0,3055838.0,2742215.0,3140056.0,2990752.0,2620817.0,2326761.0,2414176.0,2427313.0,2007637.0,1883771.0,1586431.0,1665259.0,1465606.0,1752050.0,1740096.0,2042071.0,1593074.0,1239222.0,1045007.0,861581.25,678155.5,494729.75,311304.0,311304.0,311304.0,311304.0
负债合计(万元),102892739.0,97867298.0,85065670.0,76810816.0,72476750.0,66899764.0,61239607.0,57413264.0,52008859.0,47498595.0,44966820.0,41913779.0,40983692.0,39251514.0,41379162.0,39605441.0,39336801.0,37376590.0,36677126.0,34417648.0,33326782.0,29666342.0,27613374.0,26056721.0,24131580.0,22837590.0,22365205.0,20315280.0,17922959.0,16105135.0,13859856.0,11209286.0,10100245.0,9220004.0,8713836.0,8271499.0,8510154.0,8041803.0,8461362.0,7527824.0,7058038.0,6617494.0,6557110.0,4543295.0,3222737.0,3246634.0,2784978.0,2323322.0,1861666.0,1400010.0,1400010.0,1400010.0,1400010.0
实收资本(或股本)(万元),1103915.0,1103915.0,1103915.0,1103915.0,1103915.0,1103915.0,1103915.0,1103915.0,1103915.0,1105161.0,1104961.0,1104806.0,1104611.0,1103751.0,1101707.0,1101503.0,1101497.0,1101497.0,1101487.0,1101372.0,1100676.0,1099555.0,1099544.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,1099521.0,687201.0,687201.0,687201.0,655485.0,436990.0,436990.0,420809.75,404629.5,388449.25,372269.0,372269.0,372269.0,372269.0
资本公积(万元),830206.0,832926.0,905916.0,920770.0,835685.0,826827.0,807855.0,807876.0,783907.0,817481.0,834237.0,832911.0,855471.0,849363.0,833207.0,831264.0,824282.0,853222.0,889438.0,888419.0,881591.0,868386.0,867461.0,875315.0,887769.0,884346.0,883371.0,879442.0,884407.0,878934.0,885303.0,886592.0,903257.0,855772.0,849697.0,850763.0,788387.0,785314.0,780299.0,795370.0,1295931.0,1283047.0,1266322.0,295642.0,542384.0,531501.0,426617.25,321733.5,216849.75,111966.0,111966.0,111966.0,111966.0
减:库存股(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16016.0,16015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积(万元),3590007.0,3590007.0,3254077.0,3254077.0,3254077.0,3254077.0,2806877.0,2806877.0,2806877.0,2806877.0,2607878.0,2607878.0,2607878.0,2607878.0,2013541.0,2013541.0,2013541.0,2013541.0,1701705.0,1701705.0,1701705.0,1701705.0,1364873.0,1364873.0,1364873.0,1364873.0,1058771.0,1058771.0,1058771.0,1058771.0,873784.0,873784.0,873784.0,873784.0,658198.0,658198.0,658198.0,658198.0,539547.0,539547.0,539547.0,539547.0,440209.0,440209.0,440209.0,440209.0,402502.75,364796.5,327090.25,289384.0,289384.0,289384.0,289384.0
一般风险准备(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确定的投资损失(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润(万元),8066348.0,7717185.0,6357034.0,5978206.0,6189568.0,6120027.0,5291205.0,5000097.0,5343109.0,5259785.0,4332675.0,4131857.0,4264307.0,4199284.0,3864889.0,3699999.0,3372023.0,3670689.0,3086692.0,2926300.0,2830200.0,2668810.0,2258513.0,2123033.0,2033055.0,1893462.0,1595467.0,1534862.0,1467542.0,1347028.0,1130903.0,1084952.0,993498.0,880840.0,859211.0,815891.0,695304.0,618428.0,561245.0,539697.0,475104.0,403291.0,209894.0,185005.0,144383.0,83148.0,78200.75,73253.5,68306.25,63359.0,63359.0,63359.0,63359.0
拟分配现金股利(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
外币报表折算差额(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39606.0,42541.0,43026.0,50649.0,47242.0,46666.0,43628.0,44099.0,41786.0,47240.0,50612.0,54578.0,52441.0,47858.0,43041.0,39013.0,36012.0,32446.0,27859.0,27672.0,27648.0,27754.0,27684.0,27731.0,28310.0,27860.0,22591.0,14780.0,6858.0,5067.0,1695.0,1007.0,846.0,685.0,524.0,363.0,363.0,363.0,363.0
归属于母公司股东权益合计(万元),13618518.0,13267532.0,11637327.0,11264066.0,11397138.0,11344477.0,10040353.0,9746073.0,10063674.0,10018352.0,8892608.0,8727269.0,8887723.0,8816457.0,7852949.0,7688847.0,7354370.0,7689598.0,6826564.0,6664463.0,6557800.0,6382555.0,5632176.0,5509982.0,5435831.0,5296780.0,4689571.0,4620453.0,4553282.0,4423268.0,4025522.0,3977295.0,3897919.0,3737589.0,3494275.0,3452127.0,3269095.0,3189193.0,3008923.0,3001995.0,3020373.0,2927865.0,2610483.0,1581408.0,1565661.0,1492855.0,1328976.5,1165098.0,1001219.5,837341.0,837341.0,837341.0,837341.0
少数股东权益(万元),5915222.0,5399862.0,5135202.0,4851710.0,4801464.0,4823180.0,4313005.0,4071332.0,3811215.0,3612610.0,3219914.0,3052716.0,2732629.0,2772905.0,2765303.0,2883141.0,2820728.0,2854344.0,2610090.0,2142085.0,1904842.0,1831264.0,1531910.0,1473416.0,1476240.0,1486474.0,1265804.0,1160295.0,1059642.0,1035352.0,908151.0,864686.0,841432.0,803262.0,742140.0,728367.0,704140.0,692662.0,676242.0,580305.0,527612.0,464088.0,335140.0,242331.0,229460.0,252496.0,202899.5,153303.0,103706.5,54110.0,54110.0,54110.0,54110.0
所有者权益(或股东权益)合计(万元),19533740.0,18667394.0,16772529.0,16115776.0,16198602.0,16167657.0,14353358.0,13817405.0,13874888.0,13630962.0,12112522.0,11779986.0,11620352.0,11589362.0,10618251.0,10571988.0,10175097.0,10543942.0,9436654.0,8806548.0,8462643.0,8213819.0,7164086.0,6983397.0,6912071.0,6783254.0,5955375.0,5780748.0,5612924.0,5458620.0,4933673.0,4841981.0,4739351.0,4540851.0,4236415.0,4180494.0,3973235.0,3881855.0,3685165.0,3582300.0,3547986.0,3391952.0,2945623.0,1823739.0,1795121.0,1745350.0,1531875.0,1318400.0,1104925.0,891450.0,891450.0,891450.0,891450.0
负债和所有者权益(或股东权益)总计(万元),122426479.0,116534692.0,101838199.0,92926592.0,88675352.0,83067421.0,75592965.0,71230669.0,65883748.0,61129557.0,57079342.0,53693764.0,52604044.0,50840876.0,51997414.0,50177429.0,49511898.0,47920532.0,46113780.0,43224196.0,41789425.0,37880162.0,34777460.0,33040118.0,31043650.0,29620844.0,28320581.0,26096028.0,23535883.0,21563755.0,18793530.0,16051266.0,14839596.0,13760855.0,12950251.0,12451993.0,12483390.0,11923658.0,12146528.0,11110124.0,10606024.0,10009447.0,9502733.0,6367034.0,5017858.0,4991984.0,4316853.0,3641722.0,2966591.0,2291460.0,2291460.0,2291460.0,2291460.0
